STRUCTURE,STRUCTURE_ID,freq,accident,deg_urb,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-19,PC,PT,2014,6.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-19,PC,RO,2014,1.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-19,PC,SE,2014,13.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-19,PC,SI,2014,18.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-19,PC,SK,2014,10.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-19,PC,TR,2014,4.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-19,PC,UK,2014,4.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,AT,2014,14.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,AT,2019,16.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,BE,2014,6.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,BE,2019,9.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,BG,2014,1.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,BG,2019,1.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,CY,2014,2.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,CY,2019,1.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,CZ,2014,17.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,CZ,2019,12.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,DE,2014,24.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,DE,2019,19.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,DK,2014,11.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,DK,2019,9.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,EE,2014,8.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,EE,2019,12.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,EL,2014,3.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,EL,2019,3.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,ES,2014,7.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,ES,2019,5.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,EU27_2020,2014,10.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,EU27_2020,2019,9.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,EU28,2014,9.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,FI,2014,16.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,FI,2019,11.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,FR,2014,9.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,FR,2019,12.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,HR,2014,1.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,HR,2019,2.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,HU,2014,8.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,HU,2019,9.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,IE,2014,12.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,IE,2019,6.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,IS,2014,14.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,IS,2019,15.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,IT,2014,3.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,IT,2019,4.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,LT,2014,5.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,LT,2019,7.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,LU,2014,18.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,LU,2019,15.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,LV,2014,6.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,LV,2019,4.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,MT,2014,6.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,MT,2019,5.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,NL,2014,20.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,NL,2019,6.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,NO,2014,9.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,NO,2019,10.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,PL,2014,2.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,PL,2019,1.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,PT,2014,6.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,PT,2019,3.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,RO,2014,1.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,RO,2019,1.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,RS,2019,3.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,SE,2014,12.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,SE,2019,11.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,SI,2014,16.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,SI,2019,14.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,SK,2014,7.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,SK,2019,6.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,TR,2014,3.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,TR,2019,3.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-24,PC,UK,2014,3.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,AT,2014,12.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,AT,2019,13.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,BE,2014,5.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,BE,2019,7.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,BG,2014,1.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,BG,2019,0.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,CY,2014,2.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,CY,2019,1.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,CZ,2014,12.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,CZ,2019,10.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,DE,2014,21.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,DE,2019,17.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,DK,2014,10.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,DK,2019,7.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,EE,2014,7.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,EE,2019,10.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,EL,2014,3.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,EL,2019,2.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,ES,2014,6.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,ES,2019,4.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,EU27_2020,2014,9.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,EU27_2020,2019,8.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,EU28,2014,8.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,FI,2014,15.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,FI,2019,12.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,FR,2014,8.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,FR,2019,10.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,HR,2014,1.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,HR,2019,1.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,HU,2014,7.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,HU,2019,7.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,IE,2014,11.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,IE,2019,5.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,IS,2014,13.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,IS,2019,14.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,IT,2014,3.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,IT,2019,4.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,LT,2014,4.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,LT,2019,7.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,LU,2014,16.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,LU,2019,13.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,LV,2014,6.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,LV,2019,4.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,MT,2014,6.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,MT,2019,4.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,NL,2014,17.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,NL,2019,5.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,NO,2014,9.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,NO,2019,9.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,PL,2014,1.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,PL,2019,2.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,PT,2014,5.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,PT,2019,3.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,RO,2014,1.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,RO,2019,1.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,RS,2019,3.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,SE,2014,11.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,SE,2019,10.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,SI,2014,13.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,SI,2019,12.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,SK,2014,6.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,SK,2019,5.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,TR,2014,3.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,TR,2019,3.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-29,PC,UK,2014,2.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,AT,2014,9.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,BE,2014,4.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,BG,2014,0.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,CY,2014,1.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,CZ,2014,10.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,DE,2014,14.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,DK,2014,7.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,EE,2014,5.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,EL,2014,2.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,ES,2014,4.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,EU27_2020,2014,6.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,EU28,2014,6.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,FI,2014,12.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,FR,2014,6.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,HR,2014,1.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,HU,2014,5.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,IE,2014,7.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,IS,2014,10.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,IT,2014,2.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,LT,2014,4.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,LU,2014,11.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,LV,2014,5.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,MT,2014,5.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,NL,2014,12.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,NO,2014,6.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,PL,2014,1.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,PT,2014,3.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,RO,2014,0.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,SE,2014,8.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,SI,2014,8.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,SK,2014,5.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,TR,2014,2.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-44,PC,UK,2014,2.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,AT,2014,7.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,AT,2019,7.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,BE,2014,3.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,BE,2019,4.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,BG,2014,0.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,BG,2019,1.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,CY,2014,1.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,CY,2019,1.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,CZ,2014,7.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,CZ,2019,6.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,DE,2014,11.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,DE,2019,9.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,DK,2014,5.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,DK,2019,5.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,EE,2014,4.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,EE,2019,7.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,EL,2014,2.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,EL,2019,2.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,ES,2014,3.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,ES,2019,2.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,EU27_2020,2014,5.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,EU27_2020,2019,4.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,EU28,2014,4.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,FI,2014,10.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,FI,2019,9.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,FR,2014,4.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,FR,2019,5.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,HR,2014,1.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,HR,2019,1.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,HU,2014,4.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,HU,2019,5.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,IE,2014,6.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,IE,2019,2.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,IS,2014,8.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,IS,2019,9.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,IT,2014,2.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,IT,2019,2.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,LT,2014,3.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,LT,2019,4.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,LU,2014,9.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,LU,2019,7.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,LV,2014,4.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,LEIS,TOTAL,T,Y15-64,PC,LV,2019,3.4,
